First half,,,,,,,,,,Second half,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Group _ A _ Interviewers,,,,ppl_they_gonna_interview B,,,,,,Group _ B _ Interviewers,,,,ppl_they_gonna_interview A
,,,,,,,,,,,,,,
set1,,,,set1,,,,,,set1,,,,set1
2448542,,,,,,,,,,2448513,,,,2448503
2448528,,,,,,,,,,2448510,,,,2448543
2448540,,,,,,,,,,2448536,,,,2448530
2448525,,,,,,,,,,2448558,,,,2448557
2448552,,,,,,,,,,2448549,,,,2448559
2448559,,,,,,,,,,2448507,,,,2448508
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
set2,,,,set2,,,,,,set2,,,,set2
2448543,,,,,,,,,,2448526,,,,2448546
2448508,,,,,,,,,,2448502,,,,2448514
2448503,,,,,,,,,,2448519,,,,2448511
2448520,,,,,,,,,,2448537,,,,2448516
2448517,,,,2448556,,,,,,2448509,,,,2448529
2448522,,,,,,,,,,,,,,2448540
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
set3,,,,set3,,,,,,set3,,,,set3
2448529,,,,,,,,,,2448556,,,,2448527
2448516,,,,,,,,,,2448504,,,,2448545
2448530,,,,,,,,,,2448538,,,,2448517
2448541,,,,,,,,,,2448512,,,,2448547
2448531,,,,,,,,,,2448550,,,,2448520
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
set4,,,,set4,,,,,,set4,,,,set4
2448547,,,,,,,,,,2448535,,,,2448528
2448521,,,,,,,,,,2448523,,,,2448522
2448533,,,,,,,,,,2448506,,,,2448533
2448546,,,,,,,,,,2448553,,,,2448515
2448527,,,,,,,,,,2448539,,,,2448531
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
set5,,,,set5,,,,,,set5,,,,set5
2448511,,,,,,,,,,2448554,,,,2448542
2448514,,,,,,,,,,2448544,,,,2448521
2448557,,,,,,,,,,2448505,,,,2448552
2448545,,,,,,,,,,2448555,,,,2448525
2448515,,,,,,,,,,2448534,,,,2448541
